location_text,latitude,longitude,website
BK Wronki Szklarnia 6a,52.7157289,16.34705,https://portal.wzss.pl
Bractwa Kurkowego w Rawiczu  Targowa 1,,,https://portal.wzss.pl
Buk ul. Dobieżyńska (w parku),52.357408,16.5166799,https://portal.wzss.pl
Centrum Strzeleckie PERUN- Strzelnica Cieśle,52.321389,16.696389,https://portal.wzss.pl
Chodziez,53.0077681,16.8962952,https://portal.wzss.pl
Chodzież,53.0077681,16.8962952,https://portal.wzss.pl
DĄBRÓWKA LEŚNA GAJOWA 5/4 64-600 OBORNIKI,52.68416,16.8087,https://portal.wzss.pl
Dąbrówka Leśna,52.68416,16.8087,https://portal.wzss.pl
Gajowa 1 62-400 Słupca,52.290898,17.8878214,https://portal.wzss.pl
Gostyń ul. Wrocławska 45 A,51.8692551,17.0131082,https://portal.wzss.pl
HUBERTUS Studzieniec 28A,53.0077681,16.8962952,https://portal.wzss.pl
HUBERTUS w Chodzieży,53.0077681,16.8962952,https://portal.wzss.pl
Hive Młyńska Józefowo,52.4508,16.2081,https://portal.wzss.pl
Hubertus - Studzieniec 28a,53.0077681,16.8962952,https://portal.wzss.pl
Hubertus Chodzież,53.0077681,16.8962952,https://portal.wzss.pl
KS Magnum ul. Witosa 45,52.4305486,16.9013878,https://portal.wzss.pl
KS Magnum ul. Witosa 45 ( Dojazd ),52.4305486,16.9013878,https://portal.wzss.pl
KS Magnum ul. Witosa 45 ( Dojazd ) Poznań,52.4305486,16.9013878,https://portal.wzss.pl
KS Magnum ul. Witosa 45 ( ul. Dojazd ),52.4305486,16.9013878,https://portal.wzss.pl
KS Magnum ul. Witosa 45 (ul. Dojazd ) Poznań,52.4305486,16.9013878,https://portal.wzss.pl
KS Magnum ul. Witosa 45 Poznań,52.4305486,16.9013878,https://portal.wzss.pl
KURKOWE BRACTWO STRZELECKIE w TARNOWIE PODGÓRNYM ul. Zachodnia 3 62-080 Tarnowo Podgórne,52.433333,16.733333,https://portal.wzss.pl
Kalisz - strzelnica ZSPP,51.7543192,18.0846727,https://portal.wzss.pl
Kalisz Śródmiejska 24A // Ostrów Wlkp Tomczeka 34,51.6562,18.0833,https://portal.wzss.pl
Karczemka obok Pleszew,51.883333,17.783333,https://portal.wzss.pl
Kazimierz Biskupi,52.31475,18.16951,https://portal.wzss.pl
Kazimierz Biskupi ul. Kościuszki 6,52.31475,18.16951,https://portal.wzss.pl
Krzywiń ul. Strzelecka 15,51.962928,16.819295,https://portal.wzss.pl
Lizawka - Poznań,52.420392,17.0219185,https://portal.wzss.pl
Lizawka ul Bałtycka 79 Poznań,,,https://portal.wzss.pl
Lizawka ul. Bałtycka,52.420392,17.0219185,https://portal.wzss.pl
Luboń ul. Poniatowskiego 20,52.35,16.9,https://portal.wzss.pl
Międzychód-Przedlesie,52.6102593,15.8784911,https://portal.wzss.pl
Mutowo,52.638221868887385,16.58586710625372,https://portal.wzss.pl
Nad Flintą,52.6871903,16.8244783,https://portal.wzss.pl
Nad Flintą Dąbrówk Leśna,,,https://portal.wzss.pl
Nad Flintą Dąbrówka Leśna ul. Gajowa 4/5 64-600 Oborniki,52.6871903,16.8244783,https://portal.wzss.pl
Nieczajna 33,52.5822785,16.75799,https://portal.wzss.pl
Nitro Mościenica,52.2491493,17.0538962,https://portal.wzss.pl
Nowolipsk,51.9500701,17.9364674,https://portal.wzss.pl
Nowolipsk 59 gm. Chocz,51.9500701,17.9364674,https://portal.wzss.pl
Ostrów Wlkp ul. Kaliska 87 - strzelnica LOK,51.65645,17.83473,https://portal.wzss.pl
Pleszew - strzelnica ul. Poniatowskiego 7,51.8888362,17.7762698,https://portal.wzss.pl
Pleszew – strzelnica Karczemka,51.883333,17.783333,https://portal.wzss.pl
Potażniki nr 3A,52.1727,18.33923,https://portal.wzss.pl
Poznań ul Bałtycka 79,52.420392,17.0219185,https://portal.wzss.pl
Rawicz  Targowa 1,51.60578,16.860494,https://portal.wzss.pl
Rawicz-Sierakowo,51.6186933,16.8562254,https://portal.wzss.pl
Rawicz-Sierakowo Rawicz-leśniczówka,51.6186933,16.8562254,https://portal.wzss.pl
Rawicz-leśniczówka,51.6186933,16.8562254,https://portal.wzss.pl
Robaczyn,51.99254,16.55936,https://portal.wzss.pl
SCHRON85 62-510 Konin ul. Przemysłowa 85 (teren fugo),,,https://portal.wzss.pl
STRZELNICA MYSLIWSKO SPOROTWA PZŁ W KRZYWINIU,51.962928,16.819295,https://portal.wzss.pl
STRZELNICA MYSLIWSKO-SPORTOWA PZŁ W KRZYWNIU,51.962928,16.819295,https://portal.wzss.pl
STRZELNICA PZŁ W KRZYWINIU,51.962928,16.819295,https://portal.wzss.pl
Sarbka 52 64-700 Czarnków,52.93148,16.64697,https://portal.wzss.pl
Strzelnic NIECZAJNA 33,52.5822785,16.75799,https://portal.wzss.pl
Strzelnica : KŁ Darz Bór Połajewo ; miejscowość Boruszyn przy Leśniczówce.,52.7706311,16.6392153,https://portal.wzss.pl
Strzelnica Bractwa Kurkowego w Margoninie,52.966667,17.1,https://portal.wzss.pl
Strzelnica Bryllandia,51.9300422,17.5798909,https://portal.wzss.pl
Strzelnica JÓŹWIAK Nowolipsk,,,https://portal.wzss.pl
Strzelnica JÓŹWIAK Nowolipsk 59 gm. Chocz,51.9500701,17.9364674,https://portal.wzss.pl
Strzelnica KBS Margonin,52.966667,17.1,https://portal.wzss.pl
Strzelnica KBS Włoszakowice ul. Kurpińskiego,51.9313254,16.3678696,https://portal.wzss.pl
Strzelnica KLARA Sobótka 3A 63-450 Ostrów Wlkp,51.7611567,17.8432614,https://portal.wzss.pl
Strzelnica Kaliskiego Bractwa Strzelców Kurkowych Wał Jagielloński 9 62-800 Kalisz,51.7561727,18.1081954,https://portal.wzss.pl
Strzelnica Koła Łowieckiego nr 40 Diana,52.420392,17.0219185,https://portal.wzss.pl
Strzelnica Krutla pomiędzy Wolsztynem a Obrą (oznaczona na mapach google),52.0942994,16.059383,https://portal.wzss.pl
Strzelnica Kurkowego Bractwa Strzeleckiego Margonin,52.966667,17.1,https://portal.wzss.pl
Strzelnica KŻR w Buku (w parku),52.357408,16.5166799,https://portal.wzss.pl
Strzelnica KŻR w Buku ul. Dobieżyńska (w parku),52.357408,16.5166799,https://portal.wzss.pl
Strzelnica LEONHARD - Radziwiłłów k/Gorzyce Wielkie,51.6235865,17.7116663,https://portal.wzss.pl
Strzelnica LOK Września ul Ogrodowa 6,52.3254863,17.5816401,https://portal.wzss.pl
Strzelnica Lizawka  Poznań,52.420392,17.0219185,https://portal.wzss.pl
Strzelnica Lizawka  ul. Bałtycka 79 Poznań,52.420392,17.0219185,https://portal.wzss.pl
Strzelnica Lizawka Poznań,52.420392,17.0219185,https://portal.wzss.pl
Strzelnica M-GOK- Wieleń ul. Sportowa 8; 64-730 Wieleń,52.8834648,16.1747902,https://portal.wzss.pl
Strzelnica MOSIR  Gajowa 1 62-400 Słupca,52.290898,17.8878214,https://portal.wzss.pl
Strzelnica Magnum Poznań ul. Witosa 45,52.4305486,16.9013878,https://portal.wzss.pl
Strzelnica Margonin,52.966667,17.1,https://portal.wzss.pl
Strzelnica NIECZAJNA 33,52.5822785,16.75799,https://portal.wzss.pl
Strzelnica NITRO Mościenica os. Lipowe 16,52.2491493,17.0538962,https://portal.wzss.pl
Strzelnica NITRO Mościenica os.Lipowe 16,52.2491493,17.0538962,https://portal.wzss.pl
Strzelnica NITRO os. Lipowe 16,52.2491493,17.0538962,https://portal.wzss.pl
Strzelnica Nieczajna,52.5822785,16.75799,https://portal.wzss.pl
Strzelnica Orchowo,52.5063314,18.0147496,https://portal.wzss.pl
Strzelnica PZŁ w Krzywiniu,51.962928,16.819295,https://portal.wzss.pl
Strzelnica Sarbka,52.93148,16.64697,https://portal.wzss.pl
Strzelnica Sarbka 52  64-700 Czarnków,52.93148,16.64697,https://portal.wzss.pl
Strzelnica Sportowa Jóźwiak Nowolipsk,51.9500701,17.9364674,https://portal.wzss.pl
Strzelnica Sportowa Jóźwiak Nowolipsk 59,51.9500701,17.9364674,https://portal.wzss.pl
Strzelnica Sportowa Jóźwiak Nowolipsk 59 63-313 Chocz,51.9500701,17.9364674,https://portal.wzss.pl
Strzelnica Sportowa Jóźwiak Nowolipsk 59 k. Chocza,51.9500701,17.9364674,https://portal.wzss.pl
Strzelnica Sportowa Jóźwiak Nowolipsk 59 k/Chocza,51.9500701,17.9364674,https://portal.wzss.pl
Strzelnica Sportowa Jóźwiak k. Chocza,51.9500701,17.9364674,https://portal.wzss.pl
Strzelnica Sportowa Kamień k. Kalisza,51.8222476,18.2322998,https://portal.wzss.pl
Strzelnica Sportowa pl. T. Kościuszki 5 64-100 Leszno,51.8475269,16.5765565,https://portal.wzss.pl
Strzelnica Sportowa „Klara”,51.7611567,17.8432614,https://portal.wzss.pl
Strzelnica TRAP Krotoszyn ul. Bolewskiego,51.6726614,17.4326468,https://portal.wzss.pl
Strzelnica Trzcinowy Zakątek Górsko,52.566667,16.333333,https://portal.wzss.pl
Strzelnica WBK Włoszakowice ul. Kurpińskiego 29,51.9313254,16.3678696,https://portal.wzss.pl
Strzelnica WKS Grunwald Poznań Saperska 48 61-493 Poznań,52.3770214,16.9147393,https://portal.wzss.pl
Strzelnica klubowa w Mutowie,52.638221868887385,16.58586710625372,https://portal.wzss.pl
Strzelnica myśliwsko-sportowa LIZAWKA ul. Bałtycka 79 Poznań,52.420392,17.0219185,https://portal.wzss.pl
Strzelnica sportowa Grodzisk Wielkopolski - Zdrój,52.233333,16.433333,https://portal.wzss.pl
Strzelnica sportowa JÓŹWIAK -  Nowolipsk 59,51.9500701,17.9364674,https://portal.wzss.pl
Strzelnica sportowa Jóźwiak Nowolipsk 59 k/Chocza,51.9500701,17.9364674,https://portal.wzss.pl
Strzelnica sportowa Kamień k. Kalisza,51.8222476,18.2322998,https://portal.wzss.pl
Strzelnica sportowa centralny zapłon w Łucjanowie,51.962928,16.819295,https://portal.wzss.pl
Strzelnica sportowo-myśliwska PZŁ Krzywiń ul. Strzelecka,51.962928,16.819295,https://portal.wzss.pl
Strzelnica w Czaczu ul. Wielichowska 42,52.0428,16.53204,https://portal.wzss.pl
Strzelnica w Robaczynie,51.99254,16.55936,https://portal.wzss.pl
Wieleń - strzelnica M-GOK- Wieleń ul. Sportowa 8; 64-730 Wieleń,52.8834648,16.1747902,https://portal.wzss.pl
Wolica strzelnica PZŁ,51.7067747,18.1471074,https://portal.wzss.pl
ZDRÓJ,52.233333,16.433333,https://portal.wzss.pl
i WZSS Strzelnica BRYLLANDIA WITASZYCE UL. PIASKOWA 28,51.9300422,17.5798909,https://portal.wzss.pl
strzelnica M-GOK- Wieleń ul. Sportowa 8; 64-730 Wieleń,52.8834648,16.1747902,https://portal.wzss.pl
ul.Parkowa 44 64-330 Opalenica,52.308611,16.415278,https://portal.wzss.pl
ŚREM ZAMENHOFA 5,52.082897,17.0195888,https://portal.wzss.pl
Śmigiel ul Kościuszki 20,52.0153854,16.5238932,https://portal.wzss.pl
Śmigiel ul. Kościuszki 20,52.0153854,16.5238932,https://portal.wzss.pl
